AGL6	AGAMOUS-like 13 (AGL13);AGAMOUS-like 6 (AGL6);SEPALLATA 2 (SEP2);SEPALLATA3 (SEP3)	OsMADS17, MADS17, NMADS3, RMADS213, nmads3;OsMADS1, LHS, lhs1, lhs, lhs2, op, nsr, MADS1, LHS1/OsMADS1, Lhs1, AFO, OsLHS1, OsLG3b, LG3b, qLGY3, LGY3, DLN80, OsDLN80, OLR, OsOLR, GW3p6, OsGW3p6, OsMADS1GW3p6, MADS1GW3p6, qLGY3/OsLG3b/GW3p6;OsMADS24, MADS8, OsMADS8, OsMADS8/24;OsMADS6, MADS6, OsMFO1;OsMADS7, OsMADS45, FDRMADS1, RMADS216, AGL6, M79, MADS45, Os MADS7, Os MADS45, OsMADS7/45
LOC101775022	BRCA2-like B (BRCA2B);BREAST CANCER 2 like 2A (BRCA2(IV))	OsBRCA2
LOC101775023	SUPERROOT 1 (SUR1);Tyrosine transaminase family protein	OsNAAT1;OsNAAT2;OsNAAT4, OsNAAT1;OsNAAT5
LOC101775026	unknown protein	
LOC101775029	ACT domain repeat 3 (ACR3)	OsACR5;OsACR6
LOC101775030	Rhodanese/Cell cycle control phosphatase superfamily protein	OsStr1;OsStr2
LOC101775033	RING/U-box superfamily protein;TOXICOS EN LEVADURA 4 (ATL4)	OsRING372, OsC3HC4_080, C3HC4_080;OsRING70;OsRING71;OsRING72
LOC101775034	Eukaryotic aspartyl protease family protein	
LOC101775035	Aldolase superfamily protein	
LOC101775036	photosystem II BY (PSBY)	PsbY, OsPSBY
LOC101775037	cellulase 2 (CEL2);glycosyl hydrolase 9A4 (GH9A4);glycosyl hydrolase 9B14 (GH9B14);glycosyl hydrolase 9B15 (GH9B15)	OsGH9B13;OsGH9B16;OsGH9B18;OsGH9B2
LOC101775039	golgi nucleotide sugar transporter 3 (GONST3);golgi nucleotide sugar transporter 4 (GONST4)	
LOC101775041	type one protein phosphatase 1 (TOPP1);type one serine/threonine protein phosphatase 2 (TOPP2);type one serine/threonine protein phosphatase 3 (TOPP3)	OsPP101, OsTOPP1, TOPP1;OsPP47, OsTOPP4, TOPP4;OsPP83, OsTOPP2, TOPP2
LOC101775042	endoxyloglucan transferase A3 (EXGT-A3);xyloglucan endotransglucosylase/hydrolase 28 (XTH28);xyloglucan endotransglucosylase/hydrolase 29 (XTH29);xyloglucan endotransglucosylase/hydrolase 30 (XTH30)	OsXTH23, XTR3, OsXTR3;OsXTH24;OsXTH25;OsXTH26;OsXTH28
LOC101775044	AT-HSFB2B;heat shock factor 4 (HSF4);heat shock transcription factor  B2A (HSFB2A);heat shock transcription factor B3 (HSFB3);heat shock transcription factor  B4 (HSFB4)	HSfB2a, OsHsfB2a, OsHsf-14, rHsf1, HSF1, HSF14, OsHSF14;HSfB2b, OsHsfB2b, OsHsf-21, rHsf2, HSF2, HSF21, OsHSF21, OsHSF7;HSfB2c, OsHsfB2c, OsHsf-24, HSF24, OsHSF24
LOC101775045	ORGANELLE TRANSCRIPT PROCESSING 81 (OTP81);Pentatricopeptide repeat (PPR) superfamily protein;Tetratricopeptide repeat (TPR)-like superfamily protein	OsDYW5;OsSTA208, OsDGK6
LOC101775047	Protein phosphatase 2C family protein	OsPP2C23, OsPP34;OsPP2C24, OsPP35;OsPP57
LOC101775052	chaperonin-60alpha (CPN60A);embryo defective 3007 (EMB3007)	OsCPn60alpha1, OsCPn60a1, CPn60a1;OsCPn60alpha2, OsCPn60a2;OsCPn60alpha3, OsCPn60a3
LOC101775054	4-coumarate:CoA ligase 2 (4CL2);4-coumarate:CoA ligase 3 (4CL3);acyl-CoA synthetase 5 (ACOS5);AMP-dependent synthetase and ligase family protein	Os4CL3, Os4CL2, Os4CL, 4CL2, 4CL;Os4CL4;Os4CL5, 4CL3, Os4CL3;OsACS9, 4CL4, OsACOS12, ACOS12
LOC101775055	protein phosphatase 2A-3 (PP2A-3);protein phosphatase 2A-4 (PP2A-4);protein phosphatase X 1 (PPX1);protein phosphatase X 2 (PPX2)	OsPP106;OsPP112, OsPP2Ac-4, PP2Ac-4;OsPP44;OsPP56, OsPP2Ac-2, PP2Ac-2
LOC101775056	unknown protein	
LOC101775057	Protein of unknown function (DUF1279)	
LOC101775058		OsGLR1.2, OsGLR1.4, GLR1.4, OsGLR2.2, GLR2.2;OsGLR2.1, OsGLR2.2, GLR2.2, OsGLR9.3, GLR9.3;OsGLR2.3, OsGLR9.5, GLR9.5;OsGLR2.4, OsGLR9.6, GLR9.6;OsGLR4.9, OsGLR1.3, GLR1.3, OsGLR6.10, GLR6.10
LOC101775059	NAD(P)-linked oxidoreductase superfamily protein	OsAKR5, AKR5;OsDMAS1, OsAKR5, AKR5
LOC101775060	10-formyltetrahydrofolate synthetase (THFS);P-loop containing nucleoside triphosphate hydrolases superfamily protein	
LOC101775061	alpha/beta-Hydrolases superfamily protein;carboxyesterase 13 (CXE13);CXE12	OsCXE8.2;OsCXE9.2;OsCXE9.4
LOC101775062	RNA binding (RRM/RBD/RNP motifs) family protein	OsRRM1-166;OsRRM1-79
LOC101775063	cinnamoyl coa reductase (CCR2);NAD(P)-binding Rossmann-fold superfamily protein	CCR1, OsCCR1, OsCCR14, CCR14;OsCCR15, OsDFR8, DFR8;OsCCR16
LOC101775065	translocase inner membrane subunit 17-1 (TIM17-1);translocase inner membrane subunit 17-3 (TIM17-3)	
LOC101775066	zinc transporter 4 precursor (ZIP4);zinc transporter 7 precursor (ZIP7);ZIP6	OsIRT2, OsIRT1, OsZIP15, ZIP15;OsZIP3;OsZIP6;OsZIP8, OsZIP1, ZIP1, OsZIP13, ZIP13
LOC101775067	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain	OsRLCK105, OsUSP16, USP16;OsRLCK122, OsUSP20, USP20;OsRLCK315, OsUSP39, USP39;OsRLCK361, OsUSP40, USP40;OsRLCK362, OsUSP41, USP41
LOC101775068	emp24/gp25L/p24 family/GOLD family protein	
LOC101775070	IBA-RESPONSE 3 (IBR3)	
LOC101775076	Major facilitator superfamily protein;unfertilized embryo sac 2 (UNE2)	PTR
LOC101775077	YUC10;YUC11;YUCCA4 (YUC4);YUCCA 8 (YUC8);YUCCA 9 (YUC9)	OsYUCCA11, OsYUC11, YUC11;OsYUCCA12, OsYUC12, YUC12;OsYUCCA13, OsYUC13;OsYUCCA14, OsYUC14;OsYUCCA9, OsYUC9, YUC9
LOC101775078	Cysteine/Histidine-rich C1 domain family protein	
LOC101775079	SNF7.1;SNF7.2	OsSNF7.3;OsSNF7.4;OsSNF7, OsSnf7, Snf7
LOC101775081	LRR and NB-ARC domains-containing disease resistance protein;NB-ARC domain-containing disease resistance protein	OsDRP-RP13;Osh359-3, Osh359-5;YR2, YR6, YR9, YR10, YR21, YR23
LOC101775082	urophorphyrin methylase 1 (UPM1)	
LOC101775083	BSD domain-containing protein	
LOC101775084	Ribosomal protein S4 (RPS4A) family protein	RPS4;rps4, RPS4a
LOC101775086	CAAX amino terminal protease family protein	
LOC101775087	pathogenesis-related 4 (PR4)	OsPR4b, OsPR-4b;OsPR4c;OsPR4d;OsPR4, OsPR4a, PR4a, OsPR-4
LOC101775088	TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein	
LOC101775089	Protein prenylyltransferase superfamily protein;Tetratricopeptide repeat (TPR)-like superfamily protein	
LOC101775091	alpha/beta-Hydrolases superfamily protein	OsPOP2, POP2
LOC101775093	HOPZ-ACTIVATED RESISTANCE 1 (ZAR1);LRR and NB-ARC domains-containing disease resistance protein;NB-ARC domain-containing disease resistance protein	
LOC101775094	P-loop containing nucleoside triphosphate hydrolases superfamily protein	OsSTA35
LOC101775095	GT72B1;UDP-glucosyl transferase 72B3 (UGT72B3);UDP-Glycosyltransferase superfamily protein	
LOC101775096	glutamate-1-semialdehyde 2,1-aminomutase 2 (GSA2);glutamate-1-semialdehyde-2,1-aminomutase (GSA1);HOPW1-1-interacting 1 (WIN1);ornithine-delta-aminotransferase (DELTA-OAT)	GSA, GSAT, HEML, OsGSA, OsGSAT, OsHEML, OsGSAM, GSAM, OsYS53;OsOAT, delta-OAT
LOC101775097	C2H2 and C2HC zinc fingers superfamily protein	OsZOS3-23
LOC101775100	RING/U-box superfamily protein	OsRFPHC-8, OsRING114, RING114;OsRING110;OsRING111
LOC101775101	BPM3;BTB-POZ and MATH domain 1 (BPM1);BTB-POZ and MATH domain 2 (BPM2)	OsMB22, MB22, OsMBTB51, MBTB51;OsMB24, MB24, OsMBTB43, MBTB43;OsMB3, MB3, OsMBTB2, MBTB2;OsMBTB49;OsMBTB50
LOC101775103	Protein of unknown function (DUF1645)	
LOC101775104	embryo defective 2219 (EMB2219);Mitochondrial transcription termination factor family protein	
LOC101775105	adenine phosphoribosyl transferase 1 (APT1);adenine phosphoribosyl transferase 3 (APT3)	OsAPT1, APRT;OsAPT2, APRT, OsAPRT
LOC101775106	Di-glucose binding protein with Kinesin motor domain	OsKCH1, KCH1, OsKCH, KCH, O12
LOC101775108	Tryptophan RNA-binding attenuator protein-like	
LOC101775109	peroxidase 2 (PA2);Peroxidase superfamily protein;RARE COLD INDUCIBLE GENE 3 (RCI3)	OsEIN2.3, EIN2.3;OsEIN2.4, EIN2.4, OsEin2b, Ein2b;prx68;prx69
LOC101775110	phytochrome A (PHYA)	phyA, PHYA* (phyA), PHYA*, Phya, PHY18, phy 18, OsPHYA;phyB, PHYB1, OsPHYB, OsphyB, OsYHB, YHB, OsPHYB/OsYHB;PHYC, OsPHYC, OsPHYCa, OsPHYCb, OsLHD3
LOC101775111	Reticulon family protein;VIRB2-interacting protein 1 (BTI1);VIRB2-interacting protein 2 (BTI2)	OsRTNLB1;OsRTNLB14;OsRTNLB15;OsRTNLB2;OsRTNLB3
LOC101775113	Domain of unknown function (DUF26);FUNCTIONS IN: molecular_function unknown;Protein with domains of unknown function (DUF26 and DUF1204);Receptor-like protein kinase-related family protein	Gnk2RLK-7, OsGnk2RLK-7, OsGNK2RLK7
LOC101775115	Exostosin family protein;MURUS 3 (MUR3)	
LOC101775118	brassinosteroid-responsive RING-H2 (BRH1);RING/U-box superfamily protein	
LOC101775119	IMP4;maternal effect embryo arrest 49 (MEE49)	
LOC101775120	ATL6;RING/U-box superfamily protein	OsATL101, OsRING304, RING304, OsC3HC4_082, C3HC4_082;OsRING335
LOC101775121	EF-TU receptor (EFR);Leucine-rich receptor-like protein kinase family protein;Leucine-rich repeat protein kinase family protein	OsRLCK65
LOC101775122	Transducin/WD40 repeat-like superfamily protein	
LOC101775123	GRAS family transcription factor;HAIRY MERISTEM 1 (HAM1);HAIRY MERISTEM 2 (HAM2);HAIRY MERISTEM 3 (HAM3)	OsGRAS-31, OsGRAS31, GRAS-31, OsGRAS28, GRAS28, SCL6-I, OsSCL6-I;OsGRAS-40, OsGRAS40, GRAS-40;OsHAM2, OsGRAS-8, OsGRAS8, GRAS-8, GRAS8;OsHAM3, OsGRAS-21, OsGRAS21, GRAS-21, GRAS21, OsGRAS20, GRAS20;OsSCL1, SCL1, OsHAM1, OsGRAS-9, OsGRAS-9, GRAS-9, GRAS9, OsGRAS8, GRAS8, SCL6-II, OsSCL6-II
LOC101775124	SPLAYED (SYD)	CHR723, OsCHR723;OsCHR714;OsCHR720, OsSYD, CHR720
LOC101775125	OPEN STOMATA 1 (OST1);Protein kinase superfamily protein;SNF1-related protein kinase 2.1 (SNRK2.1)	OsSAPK10, OsSnRK2.10, SnRK2.10;OsSAPK1, OsSnRK2.1, SnRK2.1;OsSAPK2, OsSnRK2.2, SnRK2.2;OsSAPK3, REK, OsSnRK2.3, SnRK2.3;OsSAPK9, OsSnRK2.9, SnRK2.9
LOC101775128	phloem protein 2-B10 (PP2-B10);phloem protein 2-B15 (PP2-B15);phloem protein 2-B2 (PP2-B2);phloem protein 2-B8 (PP2-B8)	OsFbox115, Os_F0639, OsFBX65, FBX65;OsFbox120, Os_F0441, OsFBX70, FBX70;OsFbox407, Fbox407, Os_F0406, F0406, OsFBX261, FBX261;OsFbox639, Os_F0382, OsFBX437, FBX437;OsFbox640, Fbox640, Os_F0395, F0395, OsFBX438, FBX438
LOC101775129	Tesmin/TSO1-like CXC domain-containing protein	
LOC101775130	BEST Arabidopsis thaliana protein match is: NADH-ubiquinone oxidoreductase-related (TAIR:AT5G52840.1);NADH-ubiquinone oxidoreductase-related	
LOC101775131	P-glycoprotein  20 (PGP20);P-glycoprotein 6 (PGP6)	OsABCB13, OsPGP13;OsABCB14, ABCB14, OsPGP14, OsMDR13, OsABCB14_1, OsABCB14_2;OsABCB16, ABCB16, OsPGP16, OsMDR12;OsABCB8, ABCB8, OsPGP8, OsMDR10, OsISC29
LOC101775133	phosphatase 2C5 (PP2C5);Protein phosphatase 2C family protein	OsPP2C10, OsPP18;OsPP2C32, OsPP50;OsPP2C74, OsPP120, PP120;OsPP2C77, OsPP129, PP129
LOC101775134	unknown protein	
LOC101775135	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	
LOC101775136	unknown protein	
LOC101775138	CONTAINS InterPro DOMAIN/s: Nucleolar 27S pre-rRNA processing, Urb2/Npa2 (InterPro:IPR018849)	
LOC101775139	eukaryotic translation initiation factor 3K (EIF3K)	eIF-3k, OseIF3k
LOC101775140	expansin A16 (EXPA16);expansin A18 (EXPA18);expansin A1 (EXPA1);expansin A4 (EXPA4);expansin A7 (EXPA7)	OsEXP2, OsEXP2(Os-EXP2), Os-EXP2, EXPA2, OsEXPA2, OsaEXPa1.23, RiExB, RiExC, Os-EXPA2;OsEXPA17, OsEXP17, osaEXPa1.31;OsEXPA29;OsEXPA7, EXP7, OsEXP7, OsaEXPa1.26
LOC101775142	KNOTTED1-like homeobox gene 3 (KNAT3);KNOTTED1-like homeobox gene 4 (KNAT4);KNOTTED-like homeobox of Arabidopsis thaliana 7 (KNAT7)	HOS66, HB365, OsKNAT7;OSH42, OSH44, H45
LOC101775144	peroxisomal NAD-malate dehydrogenase 1 (PMDH1);peroxisomal NAD-malate dehydrogenase 2 (PMDH2)	OsMDH12.1, OsLdh12, Ldh12;OsMDH3.1, OsLdh4, Ldh4;OsmMDH, mMDH, OsMDH1.2, MDH1.2, OsLdh1, Ldh1
LOC101775148	LOB domain-containing protein 2 (LBD2)	OsLBD7
LOC101775150	Protein phosphatase 2C family protein	OsPP113;OsPP2C02, PP2C02, OsPP2C2, OsPP2;OsPP2C47, OsPP72;OsPP2C57, OsPP89
LOC101775151	expansin A16 (EXPA16);expansin A18 (EXPA18);expansin A1 (EXPA1);expansin A4 (EXPA4);expansin A7 (EXPA7)	OsEXP1, EXPA1, OsEXPA1, OsaEXPa1.16, RiExA;OsEXP2, OsEXP2(Os-EXP2), Os-EXP2, EXPA2, OsEXPA2, OsaEXPa1.23, RiExB, RiExC, Os-EXPA2;OsEXP4 (Os-EXP4), OsEXPA4, OsEXP4, Os-EXP4, OsaEXPa1.22;OsEXPA17, OsEXP17, osaEXPa1.31
LOC101775152	transcription coactivators	OsDLN197;OsDLN83, OsPHD15, PHD15
LOC101775154	unknown protein	OsMHF2
LOC101775155	embryo defective 1789 (emb1789)	OsC3H7, DLN12, OsDLN12, OsCPSF30-L2, CPSF30-L2
LOC101775156	myb domain protein 112 (MYB112);myb domain protein 116 (MYB116);myb domain protein 21 (MYB21);myb domain protein 24 (MYB24);myb domain protein 57 (MYB57)	Os2R_MYB52, MYB2-61, OsMYB2-61;OsMYB2, MYB2, Os2R_MYB36, MYB2-40, OsMYB2-40;OsMYB8, OsMYB305, MYB305, Os2R_MYB9, 2R_MYB9, MYB2-10, OsMYB2-10;OsMYB, Os2R_MYB6, MYB2-7, OsMYB2-7;OsSTA160, Os2R_MYB61, MYB2-71, OsMYB2-71
LOC101775158	chitinase A (CHIA)	C10501;C10728, OsChib3a, Chib3a, OsPR31, PR31, PR8, OsPR8
LOC101775159	ATP-dependent Clp protease;CLP protease regulatory subunit X (CLPX)	OsSTA38
LOC101775160	P-loop containing nucleoside triphosphate hydrolases superfamily protein	
LOC101775161	ABA INSENSITIVE 3 (ABI3);FUSCA 3 (FUS3);LEAFY COTYLEDON 2 (LEC2)	OsLFL1, OsSTA29, STA29;Vp1* (OSVP1), OsVP1, OsVp1, Vp1, ABI3, OsABI3, OsLFL4, OsVp-1, OSVP1
LOC101775162	ZAC	OsAGAP, OsC2DP13, C2DP13
LOC101775164	unknown protein	
LOC101775166	F-box/RNI-like superfamily protein;RNI-like superfamily protein	Os_F0723, OsFBL67, FBL67
LOC101775169	cysteine-rich RLK (RECEPTOR-like protein kinase) 10 (CRK10);cysteine-rich RLK (RECEPTOR-like protein kinase) 15 (CRK15);cysteine-rich RLK (RECEPTOR-like protein kinase) 25 (CRK25);cysteine-rich RLK (RECEPTOR-like protein kinase) 8 (CRK8)	Gnk2RLK-3, OsGnk2RLK-3, OsGNK2RLK3;Gnk2RLK-4, OsGnk2RLK-4, OsGNK2RLK4;Gnk2RLK-6, OsGnk2RLK-6, OsGNK2RLK6;OsRLCK233
LOC101775172	alpha/beta-Hydrolases superfamily protein;DEFECTIVE ANTHER DEHISCENCE 1 (DAD1)	OsDAD1;2, DAD1;2, OsPLA1-Ibeta2, PLA1-Ibeta2;OsDAD1;3, DAD1;3, OsPLA1-Ibeta1, PLA1-Ibeta1;OsDAD1;4, DAD1;4;OsPLA1-Igamma1
LOC101775173	GDSL-like Lipase/Acylhydrolase superfamily protein	OsGELP41;OsGELP42;OsGELP57;OsGELP89;OsGELP90
LOC101775174	HXXXD-type acyl-transferase family protein	
LOC101775175	alternative oxidase 1A (AOX1A);alternative oxidase 1B (AOX1B);alternative oxidase 1C (AOX1C);alternative oxidase 1D (AOX1D);alternative oxidase 2 (AOX2)	
LOC101775176	Domain of unknown function (DUF23)	
LOC101775177	unknown protein	
LOC101775178	RNA-dependent RNA polymerase 1 (RDR1);RNA-dependent RNA polymerase 2 (RDR2)	OsRDR1;OsRDR2;shl2, SHL2, sh2, OsRDR6, RDR6, DEL, OsDEL
LOC101775179	receptor like protein 22 (RLP22);receptor like protein 23 (RLP23);receptor like protein 26 (RLP26);receptor like protein 27 (RLP27)	
LOC101775180	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	
LOC101775181	fucosyltransferase 1 (FT1);fucosyltransferase 2 (FUT2);fucosyltransferase 8 (FUT8)	OsSTA79
LOC101775184	unknown protein	
LOC101775185	PLATZ transcription factor family protein	OsPLATZ10
LOC101775186	PATATIN-like protein 5 (PLP5);phospholipase A 2A (PLA2A);PLP1	OspPLAIIbeta, pPLAIIbeta, OspPLAIIphi, pPLAIIphi, NLD, PLP1, OspPLAIIphi/PLP1, OsMATL, MTL, OsMTL;OspPLAIIdelta, pPLAIIdelta;OspPLAIIepsilon, pPLAIIepsilon;OspPLAIIgamma, pPLAIIgamma;OspPLAIItheta, pPLAIItheta
LOC101775187	D6 protein kinase (D6PK);D6 protein kinase like 1 (D6PKL1);D6 protein kinase like 2 (D6PKL2)	OsAGC15;OsAGC17
LOC101775188	unknown protein	
LOC101775193	Flavin-binding monooxygenase family protein;flavin-monooxygenase glucosinolate S-oxygenase 3 (FMO GS-OX3)	
LOC101775194	Concanavalin A-like lectin protein kinase family protein;receptor lectin kinase (RLK)	
LOC101775196	chitinase A (CHIA)	C10150;C10701
LOC101775198	RNA-binding KH domain-containing protein	OsKH19;OsKH22;Spin1, OsSPIN1, OsKH16, KH16
LOC101775199	RING/U-box superfamily protein	OsRING22;OsRING308
LOC101775201	ATP binding cassette subfamily B19 (ABCB19);ATP binding cassette subfamily B1 (ABCB1);P-glycoprotein 2 (PGP2)	OsABCB11, ABCB11, OsPGP11, OsMDR11, OsABCB11_1, OsABCB11_2;OsABCB12, OsPGP12, PGP12;OsABCB14, ABCB14, OsPGP14, OsMDR13, OsABCB14_1, OsABCB14_2;OsABCB22, ABCB22, OsPGP22, OsMDR14;OsABCB6, ABCB6, OsPGP6, OsMDR8, OsISC31
LOC101775203	NRPB5;NRPE5;RNA polymerase II fifth largest subunit, C (RPB5C);RNA polymerase II fifth largest subunit, D (RPB5D);RNA polymerase II fifth largest subunit, E (RPB5E)	
LOC101775204	Pollen Ole e 1 allergen and extensin family protein	OsPOEI19
LOC101775205	beta-glucosidase 45 (BGLU45);beta glucosidase 46 (BGLU46);beta-glucosidase 47 (BGLU47)	Os4bglu14, Os4Bglu14, Os4BGlu14;Os4bglu16, Os4Bglu16, Os4BGlu16;Os4bglu18, Os4Bglu18, Os4BGlu18
LOC101775207	lysm domain GPI-anchored protein 1 precursor (LYM1);lysm domain GPI-anchored protein 2 precursor (LYM2);Peptidoglycan-binding LysM domain-containing protein	CEBiP, Os-LYP1, LYP1, OsCEBiP;LYP2, Os-LYP2;LYP3, Os-LYP3;OsLysM-RLK8, LysM-RLK8, OsRLCK330
LOC101775208	syntaxin  of plants 111 (SYP111);syntaxin of plants 123 (SYP123);syntaxin of plants 124 (SYP124);syntaxin of plants 125 (SYP125)	OsKN, OsSYP111, SYP111;OsSYP121;OsSYP124;OsSYP125;OsSYP132, OsSYP131a, SYP131a
LOC101775209	ascorbate peroxidase 4 (APX4)	
LOC101775210	Translation initiation factor SUI1 family protein	GOS2, OseIF1, OsGOS2, SUI1, PtfS;SUI1
LOC101775211	Acyl-CoA N-acyltransferases (NAT) superfamily protein	OsHAG720;OsNAA15, HHC4, OsHHC4, HAG709, OsHAG709, NAA10, OsNAA10
LOC101775214	Prolyl oligopeptidase family protein	OsPOP17, POP17;OsPOP7, POP7
LOC101775215	SIZ1	OsSIZ1, OsSIZ1.1, OsSIZ1.2, OsSIZ1.3, DLN131, OsDLN131, OsPHD23, PHD23;OsSIZ2
LOC101775227	Protein of unknown function (DUF567)	
LOC101775228	associated protein 19 (AP19);Clathrin adaptor complex small chain family protein;SNARE-like superfamily protein	
LOC101775229	unknown protein	
LOC101775231	SAP domain-containing protein	
LOC101775232	Leucine-rich repeat (LRR) family protein;somatic embryogenesis receptor-like kinase 1 (SERK1);somatic embryogenesis receptor-like kinase 2 (SERK2)	OsBDG1, BDG1;OsLRR2;OsSERK1, SERK1, OsBAK1, BAK1, OsSERK1/OsBAK1, OsBISERK1, BISERK1, OsSerk1, OsBAK1-1, 08SG2/OsBAK1, 08SG2, OsSG2
LOC101775233	Oleosin family protein	ole16, OsEnS-72, OsOLE16
LOC101775235	periodic tryptophan protein 2 (PWP2);Transducin/WD40 repeat-like superfamily protein	OsWD40-120;OsWD40-72
LOC101775237	Leucine-rich receptor-like protein kinase family protein;Leucine-rich repeat protein kinase family protein	Pi65(t), Pi65;Xa-3, Xa3 (Xa4b, Xa6, Xa9, Xa w), Xa3, Xaw, Xa6, Xa9, Xa4-b, XA26, Xa26(t), Xa26(t)*, Xa26, RKb, MRKb, MRKB, TRKb, Xa3/Xa26
LOC101775238	ethylene-responsive element binding protein (EBP);HYPOXIA RESPONSIVE ERF (ETHYLENE RESPONSE FACTOR) 1 (HRE1);HYPOXIA RESPONSIVE ERF (ETHYLENE RESPONSE FACTOR) 2 (HRE2);Integrase-type DNA-binding superfamily protein	OsEREBP1, OsERF#070, OsERF070, OsERF70, ERF70, AP2/EREBP#084, AP2/EREBP84;OsEREBP, OsERF#072, OsERF072, OsERF72, AP2/EREBP#064, AP2/EREBP64, BIERF1, OsBIERF1, OsEBP2;OsERF#061, OsERF061, OsERF61, AP2/EREBP#093, AP2/EREBP93;OsERF#071, OsERF071, OsERF71, AP2/EREBP#124, AP2/EREBP124, OsERF15
LOC101775239	Glycosyl hydrolase family protein	OsBGLU1
LOC101775241	mitochondrial editing factor  21 (MEF21);Pentatricopeptide repeat (PPR) superfamily protein;Tetratricopeptide repeat (TPR)-like superfamily protein	OsPLS14
LOC101775242	shaggy-like protein kinase 41 (SK41)	GL3.3, OsSK41, SK41, OsGSK5, GSK5, qTGW3, OsTGW3, OsGSK5/OsSK41, OsSK41/OsGSK5, GL3.3/TGW3;OsSK31/OsGSK9, OsSK31, OsGSK9, SK31;OsSKgamma, SKgamma, OsSK11/ OsGSK2, OsSK11, OsGSK2, SK11, GSK2, OsSK12, SK12
LOC101775243	rac GTPase activating protein;Rho GTPase activating protein with PAK-box/P21-Rho-binding domain	OsRhoGAP11, OsRhoGAP11;OsRhoGAP16, OsRhoGAP16;OsRhoGAP18, OsRhoGAP18;OsRhoGAP19, OsRhoGAP19;OsRhoGAP2, OsRhoGAP2
LOC101775244	SCAR family protein 4 (SCAR4);SCAR homolog 2 (SCAR2)	OsSCAR2, SCAR2, OsSCAR3, SCAR3;OsSCAR3, SCAR3, OsSCAR2, SCAR2;OsSCAR4, SCAR4;TUT1, OsSCAR1, SCAR1, TUT1/OsSCAR1, OsSCAR2, SCAR2
LOC101775245	leucine-rich repeat/extensin 2 (LRX2);Leucine-rich repeat (LRR) family protein	OsLRX3;OsPEX2
LOC101775246	HAD superfamily, subfamily IIIB acid phosphatase 	OsVSP2
LOC101775247	ENTH/VHS family protein	
LOC101775248	UDP-glucosyl transferase 85A2 (UGT85A2);UDP-glucosyl transferase 85A4 (UGT85A4);UDP-glucosyl transferase 85A7 (UGT85A7);UDP-Glycosyltransferase superfamily protein;UGT85A1	OsGSA1, UGT83A1, OsUGT83A1;OsUGT83A1
LOC101775251	ENHANCER OF AG-4 1 (HUA1);zinc finger nuclease 3 (ZFN3)	OsC3H5;OsC3H63, OsC3H69, C3H69;OsC3H8
LOC101775252	IQ-domain 1 (IQD1);IQ-domain 2 (iqd2);IQ-domain 3 (IQD3)	
LOC101775255	EMBRYO DEFECTIVE 2745 (EMB2745);maternal effect embryo arrest 40 (MEE40);pentatricopeptide (PPR) repeat-containing protein;Pentatricopeptide repeat (PPR-like) superfamily protein	
LOC101775257	co-factor for nitrate, reductase and xanthine dehydrogenase 5 (CNX5);SUMO-activating enzyme 2 (SAE2)	OsSAE2, OsSAE2.1, OsSAE2.2, OsSAE2.3;OsStr14;OsStr15
LOC101775258	sterol carrier protein 2 (SCP2)	
LOC101775260	movement protein binding protein 2C (MPB2C)	
LOC101775263	high cyclic electron flow 1 (HCEF1);Inositol monophosphatase family protein	FR, OsFR, FBP1, OsFBP1, OsMOC2, OscFBP1, cFBP1, MOC2/FBP1;OscFBP2, cFBP2;OsCFR
LOC101775264	maternal effect embryo arrest 59 (MEE59)	
LOC101775267	AUXIN INDUCIBLE 2-11 (ATAUX2-11);AUXIN RESISTANT 3 (AXR3);indole-3-acetic acid 7 (IAA7);indole-3-acetic acid inducible 14 (IAA14);indoleacetic acid-induced protein 16 (IAA16)	OsIAA15;OsIAA1, OsIAA4;OsIAA23
LOC101775268	phosphoglycerate kinase 1 (PGK1);Phosphoglycerate kinase family protein;phosphoglycerate kinase (PGK)	OsPGK2, OsPGK2a, OsPGK2b, OsPGK2c, PKP;OsPGK3, OsPGK3a, OsPGK3b, OsPGK3c;PGK, OsPGK4
LOC101775269	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	OsLTPG12, OsLTPg12;OsLTPG3, OsLTPg3
LOC101775271	Arabidopsis protein of unknown function (DUF241)	
LOC101775272	SERRATED LEAVES AND EARLY FLOWERING (SEF)	OsDLN87
LOC101775273	expansin 11 (EXPA11);expansin A15 (EXPA15);expansin A17 (EXPA17);expansin A1 (EXPA1)	OsEXPA18, OsEXP18, osaEXPa1.3;OsEXPA19, OsEXP19, osaEXPa1.2;OsEXPA27;OsEXPA31
LOC101775275	TRICHOME BIREFRINGENCE-LIKE 19 (TBL19);TRICHOME BIREFRINGENCE-LIKE 20 (TBL20);TRICHOME BIREFRINGENCE-LIKE 21 (TBL21)	OsTBL57, OsXyBAT1, XyBAT1;OsTBL58, OsXyBAT2, XyBAT2;OsTBL59;OsTBL60, OsXyBAT4, XyBAT4;OsTBL61, OsXyBAT5, XyBAT5
