HORVU.MOREX.r3.1HG0000040	peroxin 14 (PEX14)	OsPex14, OsPex14p, OsPEX14
HORVU.MOREX.r3.5HG0495770	ARIADNE 5 (ARI5);ARIADNE 7 (ARI7);ARIADNE 8 (ARI8)	OsRING452
HORVU.MOREX.r3.5HG0495790	FAD-dependent oxidoreductase family protein	
HORVU.MOREX.r3.5HG0495800	calcium-dependent protein kinase 13 (CPK13);calcium-dependent protein kinase 19 (CDPK19);calcium-dependent protein kinase 1 (CDPK1);calcium-dependent protein kinase 32 (CPK32)	OsCDPK21, OsCPK21, CPK21, CPK-21;OsCDPK22, OsCPK22, CPK22;OsCDPK29, OsCPK29;OsCDPK3, OsCPK3, CPK3;OsCDPK8, OsCPK8
HORVU.MOREX.r3.5HG0495810	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	
HORVU.MOREX.r3.5HG0495830.1.CDS1	BIP1;BIP2;BIP3	OsBiP1, BiP1, BiP, Bip3, OsBiP3, BIP1/OsBIP3, OsMed37_2, Med37_2;OsBiP2, Bip2;OsBiP3, BiP3;OsBiP4, BiP4, OsMed37_5, Med37_5, BiP2;OsBiP5, OsBiP, BiP, BiP5, OsMed37_7, Med37_7
HORVU.MOREX.r3.5HG0495840	farnesyltransferase A (FTA)	OsPFT-alpha, OsPGGT I-alpha, OsPFT/OsPGGT I-alpha
HORVU.MOREX.r3.5HG0495860	FRA8 homolog (F8H);FRAGILE FIBER 8 (FRA8);GUT1;GUT2	GT47-1, OsGT47-1, OsIRX10L3;OsGT47A, OsIRX10L1, IRX10L1;OsIRX10L4;OsIRX10L5;OsIRX10, OsIRX10L, IRX10L, OsBC18, BC18, OsIRX18, IRX18
HORVU.MOREX.r3.5HG0495870	unknown protein	
HORVU.MOREX.r3.5HG0495890.1.CDS1	2Fe-2S ferredoxin-like superfamily protein	
HORVU.MOREX.r3.5HG0495910.1.CDS1	respiratory burst oxidase homolog A (RBOHA);respiratory burst oxidase homolog B (RBOHB);respiratory burst oxidase homologue D (RBOHD);Riboflavin synthase-like superfamily protein;ROOT HAIR DEFECTIVE 2 (RHD2)	OsrbohI, Os rbohI, rbohI, OsRbohI, OsRbohF, OsNOX8, NOX8, OsRboh8, Rboh8;rbohB, OsrbohB, Os rbohB, OsRbohB, OsNox1, Nox1, Os-RbohB, RbohB, OsRboh1, Rboh1
HORVU.MOREX.r3.5HG0495920	ATPase, AAA-type, CDC48 protein;peroxisome 1 (PEX1)	OsCDC48-6;OsCDC48-7;OsCDC48, CDC48, OsCDC48-1, CDC48-1;OsCDC48E, OsCDC48-2, CDC48-2
HORVU.MOREX.r3.5HG0495930	peroxisome 1 (PEX1)	
HORVU.MOREX.r3.5HG0495940	CONTAINS InterPro DOMAIN/s: Basic helix-loop-helix, Nulp1-type (InterPro:IPR006994)	
HORVU.MOREX.r3.5HG0495950	ATPase, AAA-type, CDC48 protein;cell division cycle 48 (CDC48);cell division cycle protein 48-related / CDC48-related;P-loop containing nucleoside triphosphate hydrolases superfamily protein	OsBrd13, Brd13, OsCDC48-8, CDC48-8;OsCDC48, CDC48, OsCDC48-1, CDC48-1;OsCDC48E, OsCDC48-2, CDC48-2;OsRpt1a, Rpt1a;OsSTL2, OsCDC48-3, CDC48-3
HORVU.MOREX.r3.5HG0495960	SPFH/Band 7/PHB domain-containing membrane-associated protein family	OsFLOT1;OsFLOT2;OsFLOT3
HORVU.MOREX.r3.5HG0495980	L-Aspartase-like family protein	OsASL1, OsASL1.1, OsASL1.2, OsAL1, red1
HORVU.MOREX.r3.5HG0495990	20S proteasome beta subunit G1 (PBG1)	OsPBG1
HORVU.MOREX.r3.5HG0496000	unknown protein	
HORVU.MOREX.r3.5HG0496010	FUNCTIONS IN: molecular_function unknown	
HORVU.MOREX.r3.5HG0496040	2 iron, 2 sulfur cluster binding	OsCDGSH, CDGSH
HORVU.MOREX.r3.5HG0496050.1.CDS1	dicarboxylate carrier 2 (DIC2);dicarboxylate carrier 3 (DIC3);Mitochondrial substrate carrier family protein;plant uncoupling mitochondrial protein 1 (PUMP1);uncoupling protein 5 (UCP5)	
HORVU.MOREX.r3.5HG0496060	SPFH/Band 7/PHB domain-containing membrane-associated protein family	OsFLOT1;OsFLOT2;OsFLOT3
HORVU.MOREX.r3.5HG0496160.1.CDS1	Pentatricopeptide repeat (PPR) superfamily protein;Tetratricopeptide repeat (TPR)-like superfamily protein	
HORVU.MOREX.r3.5HG0496170	KIWI	SI1
HORVU.MOREX.r3.5HG0496180.1.CDS1	HOPZ-ACTIVATED RESISTANCE 1 (ZAR1);NB-ARC domain-containing disease resistance protein;RECOGNITION OF PERONOSPORA PARASITICA 13 (RPP13);RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	OsRPM1-L1, SOH74, OsSOH74
HORVU.MOREX.r3.5HG0496190.1.CDS1	RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	OsRPM1-L1, SOH74, OsSOH74
HORVU.MOREX.r3.5HG0496200.1.CDS1	Pentatricopeptide repeat (PPR) superfamily protein;pigment defective 247 (PDE247)	OsSTA208, OsDGK6
HORVU.MOREX.r3.5HG0496210	Ypt/Rab-GAP domain of gyp1p superfamily protein	TBC22A, TBC
HORVU.MOREX.r3.5HG0496220.1.CDS1	Histone superfamily protein	H4;H4, OsH4;OsH4, H4, OsPH9
HORVU.MOREX.r3.5HG0496250	Basic-leucine zipper (bZIP) transcription factor family protein	OsbZIP36;OsbZIP61;RF2a, OsbZIP75;RF2b, OsRF2B, OsbZIP30, bZIP30
HORVU.MOREX.r3.5HG0496260	FPA	OsRRMh, RRMh, RRM1-181, OsRRM1-181;OsRRM, RRM, OsRRM1-174
HORVU.MOREX.r3.5HG0496280	3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 1 (3BETAHSD/D1);3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 2 (3BETAHSD/D2);3-beta hydroxysteroid dehydrogenase/isomerase family protein	OsRTNLB20;OsRTNLB9
HORVU.MOREX.r3.5HG0496380	GDP-D-mannose 3',5'-epimerase (GME)	OsGME1, GME1;OsGME2, GME2
HORVU.MOREX.r3.5HG0496380	AUD1;GDP-D-mannose 3',5'-epimerase (GME);UDP-GLUCURONIC ACID DECARBOXYLASE 2 (UXS2);UDP-xylose synthase 4 (UXS4)	OsGME1, GME1;OsGME2, GME2
HORVU.MOREX.r3.5HG0496450.1.CDS1	NADH dehydrogenase subunit 4 (NAD4);NDHD	
HORVU.MOREX.r3.5HG0496490	Uncharacterised conserved protein UCP015417,  vWA	OsvWA21, vWA21;OsvWA4, vWA4
HORVU.MOREX.r3.5HG0496510.1.CDS1	Uncharacterised conserved protein UCP015417,  vWA	OsvWA21, vWA21;OsvWA4, vWA4
HORVU.MOREX.r3.5HG0496530.1.CDS1	Disease resistance-responsive (dirigent-like protein) family protein	OsDIR10, OsjDIR10;OsDIR17, OsjDIR17;OsDIR18, OsjDIR18;OsDIR33, OsjDIR33;OsDIR40, OsjDIR40
HORVU.MOREX.r3.5HG0496580.1.CDS1		
HORVU.MOREX.r3.5HG0496610	glyoxalase 2-1 (GLX2-1);glyoxalase 2-4 (GLX2-4);glyoxalase 2-5 (GLX2-5)	OsGLYII2, GLYII2, OsGLYII-2;OsGLYII3, GLYII3, gly II, OsGLYII-3
HORVU.MOREX.r3.5HG0496620	glutathione S-transferase (class zeta) 2 (GSTZ2);glutathione S-transferase zeta 1 (GSTZ1)	OsGSTZ1, GSTZ-1;OsGSTZ2, GSTZ-2;OsGSTZ3
HORVU.MOREX.r3.5HG0496630	glutathione S-transferase (class zeta) 2 (GSTZ2);glutathione S-transferase zeta 1 (GSTZ1)	OsGSTZ1, GSTZ-1;OsGSTZ2, GSTZ-2;OsGSTZ3
HORVU.MOREX.r3.5HG0496640	Plant protein of unknown function (DUF936)	
HORVU.MOREX.r3.5HG0496660.1.CDS1	sister chromatid cohesion 1 protein 4 (SYN4);SYN3;SYNAPTIC 1 (SYN1)	OsRad21-3;OsRad21-4, REC8, OsREC8, OsRAD21-4;OsRad21, OsRAD21-1, REC8
HORVU.MOREX.r3.5HG0496690	alkenal reductase (AER);Zinc-binding dehydrogenase family protein	ClpC2;OsNADPH1, NADPH1
HORVU.MOREX.r3.5HG0496740.1.CDS1	HXXXD-type acyl-transferase family protein;hydroxycinnamoyl-CoA shikimate/quinate hydroxycinnamoyl transferase (HCT);spermidine hydroxycinnamoyl transferase (SHT)	OsACT;OsAHT2;OsAT4c, AT4c, OsPHT4, PHT4;Os-PHT3, OsPHT3
HORVU.MOREX.r3.5HG0496780	C2 domain-containing protein / GRAM domain-containing protein	OsC2DP19;OsC2DP49;OsC2DP71;OsC2DP75
HORVU.MOREX.r3.5HG0496790	B12D protein	OsB12D1
HORVU.MOREX.r3.5HG0496820	Disease resistance protein (CC-NBS-LRR class) family;NB-ARC domain-containing disease resistance protein;RECOGNITION OF PERONOSPORA PARASITICA 13 (RPP13);RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	PIK2L, OsPIK2L
HORVU.MOREX.r3.5HG0496850	Actin-binding FH2 (formin homology 2) family protein;formin homolog 6 (FH6);formin homology 1 (AFH1);formin homology5 (Fh5)	OsFH1;OsFH15;OsFH4;OsFH9;OsSTA198, STA198, OsFH11
HORVU.MOREX.r3.5HG0496860	Thioesterase/thiol ester dehydrase-isomerase superfamily protein	
HORVU.MOREX.r3.5HG0496870	UDP-glucosyltransferase 74F2 (UGT74F2);UDP-glycosyltransferase 74 F1 (UGT74F1);UDP-Glycosyltransferase superfamily protein;Uridine diphosphate glycosyltransferase 74E2 (UGT74E2)	OsSGT, UGT74H3, OsUGT74H3;OsUGT74H1;OsUGT74H4, SGT1, OsSGT1, UGT74H12, OsUGT74H12;OsUGT74H4, UGT74H4;OsUGT74J1
HORVU.MOREX.r3.5HG0496880	UDP-glucosyltransferase 74F2 (UGT74F2);UDP-glycosyltransferase 74 F1 (UGT74F1);UDP-Glycosyltransferase superfamily protein;Uridine diphosphate glycosyltransferase 74E2 (UGT74E2)	OsSGT, UGT74H3, OsUGT74H3;OsUGT74H1;OsUGT74H4, SGT1, OsSGT1, UGT74H12, OsUGT74H12;OsUGT74H4, UGT74H4;OsUGT74J1
HORVU.MOREX.r3.5HG0496890	UDP-glucosyltransferase 74F2 (UGT74F2);UDP-glycosyltransferase 74 F1 (UGT74F1);UDP-Glycosyltransferase superfamily protein;Uridine diphosphate glycosyltransferase 74E2 (UGT74E2)	OsSGT, UGT74H3, OsUGT74H3;OsUGT74H1;OsUGT74H4, SGT1, OsSGT1, UGT74H12, OsUGT74H12;OsUGT74H4, UGT74H4;OsUGT74J1
HORVU.MOREX.r3.5HG0496910	ankyrin repeat family protein;Ankyrin repeat family protein	
HORVU.MOREX.r3.5HG0496940	inositol 1,3,4-trisphosphate 5/6-kinase 4 (ITPK4);Inositol 1,3,4-trisphosphate 5/6-kinase family protein	OsITPK2, ITPK2, OsDSM3, OsITP5/6K-2, OsITL1;OsITPK5, OsITP5/6K-5, OsITL3;OsITPK6, OsITP5/6K-6, ITP5/6K-6
HORVU.MOREX.r3.5HG0496950.1.CDS1	ATL4H;RING/U-box superfamily protein	OsRING301;OsRING303;OsRING305, OsC3HC4_021, C3HC4_021;OsRING331, RING331;OsRING40
HORVU.MOREX.r3.5HG0496970	Serine protease inhibitor (SERPIN) family protein;serpin 3 (SRP3)	OsSRP-FAS, OrysaZ6c;OsSRP-FLC, OrysaZ2b;OsSRP-GRA, OrysaZ6b;OsSRP-LLS, OrysaZ2a;OsSRP-PSG, OrysaZ8
HORVU.MOREX.r3.5HG0497050.1.CDS1	Aminotransferase-like, plant mobile domain family protein	
HORVU.MOREX.r3.5HG0497130.1.CDS1	Basic helix-loop-helix (bHLH) DNA-binding family protein;basic helix-loop-helix (bHLH) DNA-binding superfamily protein;MYC2;NACL-inducible gene 1 (NIG1)	OsbHLH009, bHLH009, OsMYC2, MYC2;OsbHLH011;OsbHLH167
HORVU.MOREX.r3.5HG0497150.1.CDS1	Basic helix-loop-helix (bHLH) DNA-binding family protein;basic helix-loop-helix (bHLH) DNA-binding superfamily protein;MYC2;NACL-inducible gene 1 (NIG1)	OsbHLH009, bHLH009, OsMYC2, MYC2;OsbHLH011;OsbHLH167
HORVU.MOREX.r3.5HG0497160	polymerase delta 4 (POLD4)	
HORVU.MOREX.r3.5HG0497170	alpha/beta-Hydrolases superfamily protein	
HORVU.MOREX.r3.5HG0497180.1.CDS1	Pentatricopeptide repeat (PPR) superfamily protein;Tetratricopeptide repeat (TPR)-like superfamily protein	
HORVU.MOREX.r3.5HG0497200	cell division cycle 5 (CDC5)	OsMYB50, MYB2-48, OsMYB2-48
HORVU.MOREX.r3.5HG0497220.1.CDS1	serine carboxypeptidase-like 18 (scpl18);serine carboxypeptidase-like 2 (scpl2);serine carboxypeptidase-like 6 (scpl6)	OsSCP22;OsSCP44;OsSCP45, OsSCP46, SCP46
HORVU.MOREX.r3.5HG0497230	RING/FYVE/PHD zinc finger superfamily protein	OsDLN242, OsDLN242a, OsDLN242b, DLN242a, DLN242b;OsDLN248;OsDLN258, OsPHD44, PHD44
HORVU.MOREX.r3.5HG0497260	serine carboxypeptidase-like 18 (scpl18);serine carboxypeptidase-like 19 (SCPL19);serine carboxypeptidase-like 6 (scpl6)	OsSCP22;OsSCP44;OsSCP59, OsSCP60, SCP60;OsSCP64
HORVU.MOREX.r3.5HG0497280.1.CDS1	ethylene response factor 1 (ERF1);ethylene-responsive element binding factor 15 (ERF15);ethylene responsive element binding factor 2 (ERF2);Integrase-type DNA-binding superfamily protein;octadecanoid-responsive Arabidopsis AP2/ERF 59 (ORA59)	DERF2, OsDERF2, OsERF#086, OsERF086, OsERF86, AP2/EREBP#074, AP2/EREBP74, OsERF1;OsERF#083, OsERF083, OsERF83, AP2/EREBP#163, AP2/EREBP163;OsERF#085, OsERF085, OsERF85, AP2/EREBP#151, AP2/EREBP151, AP2/EREBP#062, AP2/EREBP62;OsERF#087, OsERF087, OsERF87, AP2/EREBP#067, AP2/EREBP67;OsERF#136, OsERF136, AP2/EREBP#106, AP2/EREBP106, AP2-106
HORVU.MOREX.r3.5HG0497300.1.CDS1	ATL8;RING/U-box superfamily protein	OsLTP1.13, OsLtpI.13;OsRING192;OsRING59;OsRING69
HORVU.MOREX.r3.5HG0497320.1.CDS1	ATL8;RING/U-box superfamily protein	OsRING192;OsRING194;OsRING59;OsRING69
HORVU.MOREX.r3.5HG0497330	Basic-leucine zipper (bZIP) transcription factor family protein	OsbZIP25;OsbZIP35, BZIP35, OsGNP5;OsbZIP68;OsbZIP76, DLN229, OsDLN229;OsbZIP78, CRPG135, OsCRPG135
HORVU.MOREX.r3.5HG0497350	unknown protein	
HORVU.MOREX.r3.5HG0497360	bile acid transporter 5 (BAT5);Sodium Bile acid symporter family	OsSBF1
HORVU.MOREX.r3.5HG0497370	embryo defective 1138 (emb1138);PRH75;putative mitochondrial RNA helicase 2 (PMH2)	
HORVU.MOREX.r3.5HG0497400	alpha-L-fucosidase 1 (FUC1)	
HORVU.MOREX.r3.5HG0497430.1.CDS1	3-ketoacyl-CoA synthase 1 (KCS1);3-ketoacyl-CoA synthase 4 (KCS4);3-ketoacyl-CoA synthase 5 (KCS5);3-ketoacyl-CoA synthase 6 (KCS6);3-ketoacyl-CoA synthase 9 (KCS9)	CER6/CUT1, CER6, CUT1, OsCER6, WSL4, KCS6, OsKCS6, CER6/CUT1/KCS6, OsHMS1, OsKCS8, KCS8;OsKCS19;OsKCS1, OsKCS13, KCS13
HORVU.MOREX.r3.5HG0497440.1.CDS1	3-ketoacyl-CoA synthase 10 (KCS10);3-ketoacyl-CoA synthase 4 (KCS4);3-ketoacyl-CoA synthase 5 (KCS5);3-ketoacyl-CoA synthase 6 (KCS6);3-ketoacyl-CoA synthase 9 (KCS9)	CER6/CUT1, CER6, CUT1, OsCER6, WSL4, KCS6, OsKCS6, CER6/CUT1/KCS6, OsHMS1, OsKCS8, KCS8;OsKCS19;OsKCS1, OsKCS13, KCS13
HORVU.MOREX.r3.5HG0497460.1.CDS1	TCP family transcription factor 	OsPCF2;OsTCP19;OsTCP25, TCP25;OsTCP6, TCP6;OsTCP9, OsTCP5, TCP5
HORVU.MOREX.r3.5HG0497480	P-loop containing nucleoside triphosphate hydrolases superfamily protein	Get3
HORVU.MOREX.r3.5HG0497490	Major Facilitator Superfamily with SPX (SYG1/Pho81/XPR1) domain-containing protein	OsSPX-MFS1;OsSPX-MFS2;OsSPX-MFS3;OsSPX-MFS4
HORVU.MOREX.r3.5HG0497500	5'-3' exonuclease family protein;single-stranded DNA endonuclease family protein	OsSEND-1, OsSEND1;rad, rad*, OsRAD, GEN1, OsGEN-L, OsGEN1
HORVU.MOREX.r3.5HG0497530.1.CDS1	C-repeat-binding factor 4 (CBF4);C-repeat/DRE binding factor 1 (CBF1);C-repeat/DRE binding factor 2 (CBF2);dehydration response element B1A (DREB1A);DWARF AND DELAYED FLOWERING 2 (ddf2)	OsDREB1A, Os DREB1A, CBF3, OsCBF3, OsDREB1A/OsCBF3, ERF24, OsERF24, OsERF024, OsERF#024, AP2/EREBP#114, AP2/EREBP114, OsDREBL;OsDREB1B, ERF31, OsERF031, OsERF#031, OsERF31, AP2/EREBP#169, AP2/EREBP169, OsDREB1b, OsDREB1C, OsCBF1, CBF1;OsDREB1C, CBF1, ERF26, OsERF026, OsERF#026, OsERF26, AP2/EREBP#098, AP2/EREBP98, OsCBF2, CBF2;OsDREB1E, OsERF030, OsERF#030, OsERF30, ERF30, AP2/EREBP#160, AP2/EREBP160, OsDREB1-1;OsERF#028, OsERF028, OsERF28, DERF4, OsDERF4, OsDREB1J, DREB1J
HORVU.MOREX.r3.5HG0497540.1.CDS1	C-repeat-binding factor 4 (CBF4);C-repeat/DRE binding factor 1 (CBF1);C-repeat/DRE binding factor 2 (CBF2);dehydration response element B1A (DREB1A);DWARF AND DELAYED FLOWERING 2 (ddf2)	OsDREB1A, Os DREB1A, CBF3, OsCBF3, OsDREB1A/OsCBF3, ERF24, OsERF24, OsERF024, OsERF#024, AP2/EREBP#114, AP2/EREBP114, OsDREBL;OsDREB1B, ERF31, OsERF031, OsERF#031, OsERF31, AP2/EREBP#169, AP2/EREBP169, OsDREB1b, OsDREB1C, OsCBF1, CBF1;OsDREB1C, CBF1, ERF26, OsERF026, OsERF#026, OsERF26, AP2/EREBP#098, AP2/EREBP98, OsCBF2, CBF2;OsDREB1E, OsERF030, OsERF#030, OsERF30, ERF30, AP2/EREBP#160, AP2/EREBP160, OsDREB1-1;OsDREB1G, OsERF025, OsERF#025, OsERF25, ERF25, AP2/EREBP#138, AP2/EREBP138, OsDREB1I
HORVU.MOREX.r3.5HG0497560.1.CDS1	C-repeat-binding factor 4 (CBF4);C-repeat/DRE binding factor 1 (CBF1);C-repeat/DRE binding factor 2 (CBF2);dehydration response element B1A (DREB1A);DWARF AND DELAYED FLOWERING 2 (ddf2)	OsDREB1A, Os DREB1A, CBF3, OsCBF3, OsDREB1A/OsCBF3, ERF24, OsERF24, OsERF024, OsERF#024, AP2/EREBP#114, AP2/EREBP114, OsDREBL;OsDREB1B, ERF31, OsERF031, OsERF#031, OsERF31, AP2/EREBP#169, AP2/EREBP169, OsDREB1b, OsDREB1C, OsCBF1, CBF1;OsDREB1C, CBF1, ERF26, OsERF026, OsERF#026, OsERF26, AP2/EREBP#098, AP2/EREBP98, OsCBF2, CBF2;OsDREB1E, OsERF030, OsERF#030, OsERF30, ERF30, AP2/EREBP#160, AP2/EREBP160, OsDREB1-1;OsERF#028, OsERF028, OsERF28, DERF4, OsDERF4, OsDREB1J, DREB1J
HORVU.MOREX.r3.5HG0497570.1.CDS1	C-repeat-binding factor 4 (CBF4);C-repeat/DRE binding factor 1 (CBF1);C-repeat/DRE binding factor 2 (CBF2);dehydration response element B1A (DREB1A);DWARF AND DELAYED FLOWERING 2 (ddf2)	OsDREB1A, Os DREB1A, CBF3, OsCBF3, OsDREB1A/OsCBF3, ERF24, OsERF24, OsERF024, OsERF#024, AP2/EREBP#114, AP2/EREBP114, OsDREBL;OsDREB1B, ERF31, OsERF031, OsERF#031, OsERF31, AP2/EREBP#169, AP2/EREBP169, OsDREB1b, OsDREB1C, OsCBF1, CBF1;OsDREB1E, OsERF030, OsERF#030, OsERF30, ERF30, AP2/EREBP#160, AP2/EREBP160, OsDREB1-1;OsDREB1G, OsERF025, OsERF#025, OsERF25, ERF25, AP2/EREBP#138, AP2/EREBP138, OsDREB1I;OsERF#028, OsERF028, OsERF28, DERF4, OsDERF4, OsDREB1J, DREB1J
HORVU.MOREX.r3.5HG0497580.1.CDS1	C-repeat-binding factor 4 (CBF4);C-repeat/DRE binding factor 1 (CBF1);C-repeat/DRE binding factor 2 (CBF2);dehydration response element B1A (DREB1A);DWARF AND DELAYED FLOWERING 2 (ddf2)	OsDREB1A, Os DREB1A, CBF3, OsCBF3, OsDREB1A/OsCBF3, ERF24, OsERF24, OsERF024, OsERF#024, AP2/EREBP#114, AP2/EREBP114, OsDREBL;OsDREB1E, OsERF030, OsERF#030, OsERF30, ERF30, AP2/EREBP#160, AP2/EREBP160, OsDREB1-1;OsERF#028, OsERF028, OsERF28, DERF4, OsDERF4, OsDREB1J, DREB1J;OsERF#029, OsERF029, OsERF29, DERF4, OsDERF4, AP2/EREBP#161, AP2/EREBP161, OsDREB1I, DREB1I, OsDREB1G, DREB1G;OsERF#133, OsERF133, AP2/EREBP#065, AP2/EREBP65, OsDREB1H, DREB1H, OsDREB1m, DREB1m
HORVU.MOREX.r3.5HG0497590.1.CDS1	C-repeat-binding factor 4 (CBF4);C-repeat/DRE binding factor 1 (CBF1);C-repeat/DRE binding factor 2 (CBF2);dehydration response element B1A (DREB1A);DWARF AND DELAYED FLOWERING 2 (ddf2)	OsDREB1A, Os DREB1A, CBF3, OsCBF3, OsDREB1A/OsCBF3, ERF24, OsERF24, OsERF024, OsERF#024, AP2/EREBP#114, AP2/EREBP114, OsDREBL;OsDREB1B, ERF31, OsERF031, OsERF#031, OsERF31, AP2/EREBP#169, AP2/EREBP169, OsDREB1b, OsDREB1C, OsCBF1, CBF1;OsDREB1C, CBF1, ERF26, OsERF026, OsERF#026, OsERF26, AP2/EREBP#098, AP2/EREBP98, OsCBF2, CBF2;OsDREB1D, CBF4, ERF116, OsERF#116, OsERF116, AP2/EREBP#054, AP2/EREBP54, OsCbf1, OsCBF1;OsDREB1E, OsERF030, OsERF#030, OsERF30, ERF30, AP2/EREBP#160, AP2/EREBP160, OsDREB1-1
HORVU.MOREX.r3.5HG0497610.1.CDS1	C-repeat-binding factor 4 (CBF4);C-repeat/DRE binding factor 1 (CBF1);C-repeat/DRE binding factor 2 (CBF2);dehydration response element B1A (DREB1A);DWARF AND DELAYED FLOWERING 1 (DDF1)	OsDREB1A, Os DREB1A, CBF3, OsCBF3, OsDREB1A/OsCBF3, ERF24, OsERF24, OsERF024, OsERF#024, AP2/EREBP#114, AP2/EREBP114, OsDREBL;OsDREB1D, CBF4, ERF116, OsERF#116, OsERF116, AP2/EREBP#054, AP2/EREBP54, OsCbf1, OsCBF1;OsERF#028, OsERF028, OsERF28, DERF4, OsDERF4, OsDREB1J, DREB1J;OsERF#029, OsERF029, OsERF29, DERF4, OsDERF4, AP2/EREBP#161, AP2/EREBP161, OsDREB1I, DREB1I, OsDREB1G, DREB1G;OsERF#133, OsERF133, AP2/EREBP#065, AP2/EREBP65, OsDREB1H, DREB1H, OsDREB1m, DREB1m
HORVU.MOREX.r3.5HG0497620.1.CDS1	C-repeat-binding factor 4 (CBF4);C-repeat/DRE binding factor 1 (CBF1);C-repeat/DRE binding factor 2 (CBF2);dehydration response element B1A (DREB1A);DWARF AND DELAYED FLOWERING 2 (ddf2)	OsDREB1A, Os DREB1A, CBF3, OsCBF3, OsDREB1A/OsCBF3, ERF24, OsERF24, OsERF024, OsERF#024, AP2/EREBP#114, AP2/EREBP114, OsDREBL;OsDREB1D, CBF4, ERF116, OsERF#116, OsERF116, AP2/EREBP#054, AP2/EREBP54, OsCbf1, OsCBF1;OsERF#028, OsERF028, OsERF28, DERF4, OsDERF4, OsDREB1J, DREB1J;OsERF#029, OsERF029, OsERF29, DERF4, OsDERF4, AP2/EREBP#161, AP2/EREBP161, OsDREB1I, DREB1I, OsDREB1G, DREB1G;OsERF#133, OsERF133, AP2/EREBP#065, AP2/EREBP65, OsDREB1H, DREB1H, OsDREB1m, DREB1m
HORVU.MOREX.r3.5HG0497640.1.CDS1	C-repeat-binding factor 4 (CBF4);C-repeat/DRE binding factor 1 (CBF1);C-repeat/DRE binding factor 2 (CBF2);dehydration response element B1A (DREB1A);DWARF AND DELAYED FLOWERING 1 (DDF1)	OsDREB1A, Os DREB1A, CBF3, OsCBF3, OsDREB1A/OsCBF3, ERF24, OsERF24, OsERF024, OsERF#024, AP2/EREBP#114, AP2/EREBP114, OsDREBL;OsDREB1E, OsERF030, OsERF#030, OsERF30, ERF30, AP2/EREBP#160, AP2/EREBP160, OsDREB1-1;OsERF#028, OsERF028, OsERF28, DERF4, OsDERF4, OsDREB1J, DREB1J;OsERF#029, OsERF029, OsERF29, DERF4, OsDERF4, AP2/EREBP#161, AP2/EREBP161, OsDREB1I, DREB1I, OsDREB1G, DREB1G;OsERF#133, OsERF133, AP2/EREBP#065, AP2/EREBP65, OsDREB1H, DREB1H, OsDREB1m, DREB1m
HORVU.MOREX.r3.5HG0497650.1.CDS1	C-repeat-binding factor 4 (CBF4);C-repeat/DRE binding factor 1 (CBF1);C-repeat/DRE binding factor 2 (CBF2);dehydration response element B1A (DREB1A);DWARF AND DELAYED FLOWERING 1 (DDF1)	OsDREB1A, Os DREB1A, CBF3, OsCBF3, OsDREB1A/OsCBF3, ERF24, OsERF24, OsERF024, OsERF#024, AP2/EREBP#114, AP2/EREBP114, OsDREBL;OsDREB1D, CBF4, ERF116, OsERF#116, OsERF116, AP2/EREBP#054, AP2/EREBP54, OsCbf1, OsCBF1;OsERF#028, OsERF028, OsERF28, DERF4, OsDERF4, OsDREB1J, DREB1J;OsERF#029, OsERF029, OsERF29, DERF4, OsDERF4, AP2/EREBP#161, AP2/EREBP161, OsDREB1I, DREB1I, OsDREB1G, DREB1G;OsERF#133, OsERF133, AP2/EREBP#065, AP2/EREBP65, OsDREB1H, DREB1H, OsDREB1m, DREB1m
HORVU.MOREX.r3.5HG0497660.1.CDS1	C-repeat-binding factor 4 (CBF4);C-repeat/DRE binding factor 1 (CBF1);C-repeat/DRE binding factor 2 (CBF2);dehydration response element B1A (DREB1A);DWARF AND DELAYED FLOWERING 2 (ddf2)	OsDREB1A, Os DREB1A, CBF3, OsCBF3, OsDREB1A/OsCBF3, ERF24, OsERF24, OsERF024, OsERF#024, AP2/EREBP#114, AP2/EREBP114, OsDREBL;OsDREB1B, ERF31, OsERF031, OsERF#031, OsERF31, AP2/EREBP#169, AP2/EREBP169, OsDREB1b, OsDREB1C, OsCBF1, CBF1;OsERF#028, OsERF028, OsERF28, DERF4, OsDERF4, OsDREB1J, DREB1J;OsERF#029, OsERF029, OsERF29, DERF4, OsDERF4, AP2/EREBP#161, AP2/EREBP161, OsDREB1I, DREB1I, OsDREB1G, DREB1G;OsERF#133, OsERF133, AP2/EREBP#065, AP2/EREBP65, OsDREB1H, DREB1H, OsDREB1m, DREB1m
