QOZ80_1AG0000010	NC domain-containing protein-related	
QOZ80_5AG0370730	FTSH protease 10 (ftsh10);FTSH protease 1 (FTSH1);FTSH protease 3 (ftsh3);FTSH protease 6 (FTSH6);VARIEGATED 1 (VAR1)	OsFtsH1, FtsH1;OsFtsH3, FtsH3;OsFtsH8, FtsH8
QOZ80_5AG0370740	IRREGULAR XYLEM 12 (IRX12);laccase 17 (LAC17);laccase 2 (LAC2)	Lac, OsLAC11, LAC10, OsLAC10;OsLAC13;OsLAC5;OsLAC6;Oslacc, lacc, OsLAC4, OsLAC17, LAC17
QOZ80_5AG0370750	FKBP-like peptidyl-prolyl cis-trans isomerase family protein;FKBP-type peptidyl-prolyl cis-trans isomerase family protein;rotamase FKBP 1 (ROF1)	OsFKBP20-1a, OsFKBP20;OsFKBP20-1b;OsFKBP62c, FKBP62c, OsFKBP75
QOZ80_5AG0370760	DHHC-type zinc finger family protein	OsDHHC15;OsDHHC2, OsDHHC02, DHHC02
QOZ80_5AG0370770	glycerol-3-phosphate acyltransferase 4 (GPAT4);glycerol-3-phosphate acyltransferase 5 (GPAT5);glycerol-3-phosphate acyltransferase 6 (GPAT6);glycerol-3-phosphate acyltransferase 7 (GPAT7);glycerol-3-phosphate acyltransferase 8 (GPAT8)	GPAT;GPAT, OsGPAT;GPAT, OsRAM2;GPAT, OsRAM2L
QOZ80_5AG0370780	NDP1	
QOZ80_5AG0370790	highly ABA-induced PP2C gene 1 (HAI1);highly ABA-induced PP2C gene 2 (HAI2);highly ABA-induced PP2C gene 3 (HAI3);protein phosphatase 2CA (PP2CA)	OsPP15, PP15, OsPP2C09, PP2C09, OsPP2C9, OsPP2C3;OsPP2C1, OsSIPP2C1, SIPP2C1, OsPP2C68, PP2C68, OsPP108;OsPP2C30, OsPP48, PP48;OsPP2C49, OsPP76, PP76
QOZ80_5AG0370810	Leucine-rich repeat protein kinase family protein;Leucine-rich repeat transmembrane protein kinase protein	OsMRLK1;OsMRLK34;OsMRLK35;OsMRLK37;OsMRLK38
QOZ80_5AG0370840	Uncharacterised protein family (UPF0497)	OsCASP_like11;OsCASP_like18;OsCASP_like23;OsCASP_like24;OsCASP_like6
QOZ80_5AG0370850	NAD(P)-linked oxidoreductase superfamily protein	OsAKR2, AKR4C14, OsAKR4-2, AKR4-2;OsAKR3, OsALR1, ALR1, OsAKR4-3, AKR4-3;OsAKR4C15, OsALR1, ALR1;OsARK1, OsAKR4-1, AKR4-1
QOZ80_5AG0370860	NAD(P)-linked oxidoreductase superfamily protein	OsAKR2, AKR4C14, OsAKR4-2, AKR4-2;OsAKR3, OsALR1, ALR1, OsAKR4-3, AKR4-3;OsAKR4C15, OsALR1, ALR1;OsARK1, OsAKR4-1, AKR4-1
QOZ80_5AG0370870	NAD(P)-linked oxidoreductase superfamily protein	OsAKR2, AKR4C14, OsAKR4-2, AKR4-2;OsAKR4C15, OsALR1, ALR1;OsARK1, OsAKR4-1, AKR4-1
QOZ80_5AG0370880	NAD(P)-linked oxidoreductase superfamily protein	OsAKR2, AKR4C14, OsAKR4-2, AKR4-2;OsAKR4C15, OsALR1, ALR1;OsARK1, OsAKR4-1, AKR4-1
QOZ80_5AG0370890	NAD(P)-linked oxidoreductase superfamily protein	OsAKR2, AKR4C14, OsAKR4-2, AKR4-2;OsAKR4C15, OsALR1, ALR1;OsARK1, OsAKR4-1, AKR4-1
QOZ80_5AG0370900	Mitochondrial glycoprotein family protein	
QOZ80_5AG0370910	Integral membrane Yip1 family protein	
QOZ80_5AG0370920	uracil phosphoribosyltransferase (UPP)	
QOZ80_5AG0370930	prenylated RAB acceptor 1.A1 (PRA1.A1);prenylated RAB acceptor 1.A2 (PRA1.A2);prenylated RAB acceptor 1.A3 (PRA1.A3)	
QOZ80_5AG0370940	delta1-pyrroline-5-carboxylate synthase 1 (P5CS1);delta 1-pyrroline-5-carboxylate synthase 2 (P5CS2)	OsP5CS, P5CS1, OsP5CS1, OsALDH18B1, ALDH18B1, OsP5CS-1, P5CS-1;P5CS2, OsP5CS2, OsALDH18B2
QOZ80_5AG0370950	basic Helix-Loop-Helix 115 (bHLH115);basic Helix-Loop-Helix 34 (bHLH34);iaa-leucine resistant3 (ILR3)	OsbHLH057, bHLH057, OsbHLH57, bHLH57, OsPRI4, PRI4;OsbHLH058, bHLH058, bHLH58, OsPRI2, PRI2;OsbHLH059, bHLH059, OsbHLH59, bHLH59, OsPRI3, PRI3;OsbHLH060, bHLH060, bHLH60, OsPRI1, PRI1, OsbHLH115, bHLH115
QOZ80_5AG0370970	BEL1-like homeodomain 6 (BLH6);BEL1-like homeodomain 8 (BLH8);REPLUMLESS (RPL)	OsSH5, RI, SH5/RI, OsRI, VPB1, OsVPB1;OsWAHD1;qSH1, qsh1, qSH-1, RIL1, OsRIL1
QOZ80_5AG0370990	rho guanyl-nucleotide exchange factor 1 (ROPGEF1);RHO guanyl-nucleotide exchange factor 7 (ROPGEF7);ROP guanine nucleotide exchange factor 5 (ROPGEF5);ROP (rho of plants) guanine nucleotide exchange factor 6 (ROPGEF6)	bgl, OsRopGEF10, Os RopGEF10, RopGEF10, OsGEF21, GEF21, SPD25, OsSPD25;OsRacGEF1, RacGEF1, OsGEF1;OsRacGEF1, RacGEF1, OsRopGEF5, Os RopGEF5, RopGEF5, OsRopGEF7B, RopGEF7B, OsGEF19, GEF19;Os RopGEF1, OsRopGEF1, RopGEF1, OsRacGEF7, RacGEF7, OsGEF22, GEF22
QOZ80_5AG0371000	partner of SLD five 1 (PSF1)	PSF1
QOZ80_5AG0371010	Adenine nucleotide alpha hydrolases-like superfamily protein	OsUSP14;OsUSP25;OsUSP6
QOZ80_5AG0371020	guanylyl cyclase 1 (GC1)	
QOZ80_5AG0371040	Arabidopsis Inositol phosphorylceramide synthase 1 (AtIPCS1);Arabidopsis Inositol phosphorylceramide synthase 2 (AtIPCS2);Arabidopsis Inositol phosphorylceramide synthase 3 (AtIPCS3)	OsIPCS1;OsIPCS2;OsIPCS3
QOZ80_5AG0371050	RING/FYVE/PHD zinc finger superfamily protein	OsRING162;OsRING360;OsRING396
QOZ80_5AG0371060	PAR1 protein	
QOZ80_5AG0371070	LETM1-like protein	
QOZ80_5AG0371080	O-fucosyltransferase family protein	OsSTA151
QOZ80_5AG0371090	maternal effect embryo arrest 59 (MEE59)	
QOZ80_5AG0371110	phosphate transporter 4	OsPT21;OsPT22, OsPHT4;3, PHT4;3;OsPT23;OsPT24, OsPHT4;4, PHT4;4
QOZ80_5AG0371120	Protein of unknown function (DUF740)	OsOPL1
QOZ80_5AG0371140	Duplicated homeodomain-like superfamily protein;Homeodomain-like transcriptional regulator	Os2R_MYB2, MYB2-2, OsMYB2-2;Os2R_MYB57, MYB2-67, OsMYB2-67;OsMYB6, MYB6, MYB2-59, OsMYB2-59, ARE4, OsARE4;OsMYBS1, Os-MYBS1, Mybs1
QOZ80_5AG0371150	Glycosyl hydrolase family protein	
QOZ80_5AG0371160	auxin F-box protein 5 (AFB5);auxin signaling F-box 2 (AFB2);auxin signaling F-box 3 (AFB3);CORONATINE INSENSITIVE 1 (COI1);GRR1-like protein 1 (GRH1)	OsCOI1a, OsCOI1, Os_F0728, COI1a, F0728, OsFBL4, FBL4;OsCOI1b, COI1b, OsCOI1H, COI1H, OsFbox260, Fbox260, Os_F0646, OsFBL23, FBL23, OsCOl-1, COl-1;OsCOI2
QOZ80_5AG0371170	HXXXD-type acyl-transferase family protein	
QOZ80_5AG0371180	glycerol-3-phosphate acyltransferase 4 (GPAT4);glycerol-3-phosphate acyltransferase 5 (GPAT5);glycerol-3-phosphate acyltransferase 6 (GPAT6);glycerol-3-phosphate acyltransferase 7 (GPAT7);glycerol-3-phosphate acyltransferase 8 (GPAT8)	GPAT;GPAT, OsRAM2;GPAT, OsRAM2L
QOZ80_5AG0371190	ACCUMULATION OF PHOTOSYSTEM ONE 1 (APO1);ACCUMULATION OF PHOTOSYSTEM ONE 2 (APO2);ACCUMULATION OF PHOTOSYSTEM ONE 3 (APO3)	OsISC39;OsISC41
QOZ80_5AG0371200	Tetratricopeptide repeat (TPR)-like superfamily protein	
QOZ80_5AG0371220	AUXIN RESISTANT 1 (AUX1);like AUX1 3 (LAX3);like AUXIN RESISTANT 1 (LAX1);like AUXIN RESISTANT 2 (LAX2)	OsLAX1, OsRAU1, OsAUX1, LAX1, AUX1;OsLAX2, OsRAU2, OsAUX3, LAX2, AUX3;OsLAX3, OsRAU3, OsAUX2, LAX3, AUX2, OsAUX3, AUX3, ARF2
QOZ80_5AG0371230	pleckstrin homologue 1 (PH1);Pleckstrin homology (PH) domain superfamily protein	
QOZ80_5AG0371240	Carbohydrate-binding-like fold	OsSBDCP1;OsSBDCP2
QOZ80_5AG0371290	DEMETER (DME);demeter-like 1 (DML1)	DML3a, OsDML3a;OsROS1B;OsROS1D, ROS1D, ROS1d, ROS1D/DNG704, OsDNG704;ROS1A, ROS1a, DME1, OsROS1A, OsROS1, ROS1, mOsROS1, ROS1A/DNG702, DNG702, OsDNG702;ROS1C, ROS1c, Os ROS1C, DME2, OsDNG701, ROS1C/DNG701
QOZ80_5AG0371310	60S acidic ribosomal protein family	OsP2A;OsP2B;OsP2C
QOZ80_5AG0371320	cytochrome P450, family 94, subfamily B, polypeptide 1 (CYP94B1);cytochrome P450, family 94, subfamily B, polypeptide 3 (CYP94B3);cytochrome P450, family 94, subfamily C, polypeptide 1 (CYP94C1);cytochrome P450, family 94, subfamily D, polypeptide 2 (CYP94D2)	OsCYP94C2b;OsCYP94C2, CYP94C2a, OsCYP94C2a;OsCYP94C3;OsCYP94C4
QOZ80_5AG0371330	embryo defective 2261 (EMB2261);ORGANELLE TRANSCRIPT PROCESSING 84 (OTP84);Pentatricopeptide repeat (PPR) superfamily protein;Tetratricopeptide repeat (TPR)-like superfamily protein	
QOZ80_5AG0371340	Eukaryotic protein of unknown function (DUF914)	
QOZ80_5AG0371350	Eukaryotic protein of unknown function (DUF914)	
QOZ80_5AG0371360	DEFECTIVELY ORGANIZED TRIBUTARIES 5 (DOT5);NO TRANSMITTING TRACT (NTT);WIP domain protein 3 (WIP3);WIP domain protein 4 (WIP4);WIP domain protein 5 (WIP5)	OsZOS1-17;OsZOS5-08;OsZOS6-05;OsZOS8-10;OsZOS9-02
QOZ80_5AG0371370	bZIP transcription factor family protein	OsbZIP41, TGA1
QOZ80_5AG0371380	FTSZ2-1;FTSZ2-2	FtsZ1, FtsZ, OsFtsZ1, OsFtsZ;FtsZ2-1
QOZ80_5AG0371400	2Fe-2S ferredoxin-like superfamily protein;FED A;ferredoxin 1 (FD1);ferredoxin 3 (FD3);ferredoxin 4 (FD4)	Fd, OsFd4, Fd4;OsFd3, Fd3;OsFd5
QOZ80_5AG0371420	ATBG_PAP;beta-1,3-glucanase_putative (BG_PPAP);Glycosyl hydrolase superfamily protein	OsBGL14;OsBGL14X
QOZ80_5AG0371430	ENDOPLASMIC RETICULUM MORPHOLOGY 2 (ERMO2);sec23/sec24 transport family protein	Sec24b, OsSEC24B
QOZ80_5AG0371460	Duplicated homeodomain-like superfamily protein;Homeodomain-like transcriptional regulator	MYB2-65, OsMYB2-65;MYB, OsMYBR17, MYB2-19, OsMYB2-19;Os2R_MYB57, MYB2-67, OsMYB2-67;OsMYB-1, MYB-1, MYB1, OsARM1, Os2R_MYB56, 2R_MYB56, OsMYBxoc1, MYBxoc1, MYB2-66, OsMYB2-66
QOZ80_5AG0371470	unknown protein	
QOZ80_5AG0371500	ovate family protein 13 (OFP13)	OsOFP10, OsOFP14, OFP14;OsOFP12, OsOFP17, OFP17;OsOFP14, OsOFP21;OsOFP28, OsOFP25, OFP25;OsOFP5, OsOFP07, OFP07
QOZ80_5AG0371540	cyclin-dependent kinase B1	OsCDKF;2
QOZ80_5AG0371550	Protein kinase superfamily protein	OsCDKF;2
QOZ80_5AG0371560	Protein kinase superfamily protein	OsCDKF;2
QOZ80_5AG0371600	CONTAINS InterPro DOMAIN/s: Zinc finger, TTF-type (InterPro:IPR006580);General transcription factor 2-related zinc finger protein;TTF-type zinc finger protein with HAT dimerisation domain	
QOZ80_5AG0371640	histone deacetylase 14 (hda14);histone deacetylase 5 (HDA05);histone deacetylase 8 (HDA08)	OsHDA712;OsHDA713;OsHDA716;OsHDA717;OsHDAC10, HDA714, OsHDA714, ASDAC, OsASDAC
QOZ80_5AG0371650	NC domain-containing protein-related	
QOZ80_5AG0371660	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	2-ODD20, Os2-ODD20, Os2ODD20;2-ODD28, Os2-ODD28, Os2ODD28
QOZ80_5AG0371670	Dof-type zinc finger DNA-binding family protein;TARGET OF MONOPTEROS 6 (TMO6)	OsDof14, Dof14, OsDof-14, OsDof12, Dof12;OsDof1, Dof1, OsDof-1, OsDof6, Dof6;OsDof21, Dof21, OsDof-21, OsCDF2, CDF2, OsDof22, Dof22;OsDof29, Dof29, OsDof-29, OsDof20, Dof20, CRPG562, OsCRPG562;OsDof7, Dof7, OsDof-7, OsDOF11, DOF11, OsDof9, Dof9
QOZ80_5AG0371690	ARM repeat superfamily protein;CYS, MET, PRO, and GLY protein 2 (CMPG2);plant U-box 29 (PUB29)	OsPUB37, OsPUB37, PUB37;OsPUB44;OsPUB45, P3IP1, OsP3IP1, OsPUB45/P3IP1, PUB45/P3IP1;OsPUB46, PUB46, OsRSSB4;OsPUB9, OsPUB09, OsPUB9, PUB9
QOZ80_5AG0371700	mitochondrial editing factor  21 (MEF21);Pentatricopeptide repeat (PPR) superfamily protein;Tetratricopeptide repeat (TPR)-like superfamily protein	
QOZ80_5AG0371710	RING/U-box superfamily protein	OsLTP1.13, OsLtpI.13;OsRING189;OsRING192;OsRING193;OsRING194
QOZ80_5AG0371720	actin-11 (ACT11);actin 3 (ACT3);actin 7 (ACT7)	RAc3;RAc7, OsAc7
QOZ80_5AG0371730	Histone superfamily protein	H3R-11;H3R-21;OsHTR702
QOZ80_5AG0371740	high cyclic electron flow 1 (HCEF1);Inositol monophosphatase family protein	FR, OsFR, FBP1, OsFBP1, OsMOC2, OscFBP1, cFBP1, MOC2/FBP1;OscFBP2, cFBP2
QOZ80_5AG0371750	pyrophosphorylase 1 (PPa1);pyrophosphorylase 3 (PPa3);pyrophosphorylase 4 (PPa4)	
QOZ80_5AG0371760	Small nuclear ribonucleoprotein family protein	
QOZ80_5AG0371790	tubby like protein 10 (TLP10);tubby like protein 1 (TLP1);tubby like protein 5 (TLP5)	OsTLP1, OsTLP1a, OsTLP1b, OsTLP1c, OsTLP8, OsFbox259, Os_F0415, OsFBT7, FBT7;OsTLP3, TLP3, OsTLP7, OsFbox240, Fbox240, Os_F0401, F0401, OsFBT6, FBT6;OsTLP4, TLP4, OsTLP14, OsFbox645, Os_F0315, OsFBT14, FBT14;OsTLP5, TLP5, OsTLP3, OsFbox050, OsFbox50, Os_F0396, OsFBT3, FBT3
QOZ80_5AG0371810	Basic-leucine zipper (bZIP) transcription factor family protein;G-box binding factor 4 (GBF4)	OsbZIP12, OsABF1, ABF1, OsOSE2, OSE2, OsbZIP12/OsABF1;OsbZIP40
QOZ80_5AG0371820	Integral membrane Yip1 family protein	
QOZ80_5AG0371830	BEST Arabidopsis thaliana protein match is: reduced male fertility (TAIR:AT3G61730.1);REDUCED MALE FERTILITY (RMF)	Os_F0777, OsZYGO1
QOZ80_5AG0371850	polypyrimidine tract-binding protein 1 (PTB1);polypyrimidine tract-binding protein 3 (PTB3)	OsPTB1, RRM1-11, OsRRM1-11;RBP-61, OsRBP61, OsPTB2, PTB2, RRM1-112, OsRRM1-112
QOZ80_5AG0371910	like COV 1 (LCV1);like COV 2 (LCV2)	
QOZ80_5AG0371930	ethylene response  factor 110 (ERF110);Integrase-type DNA-binding superfamily protein	OsEREBP1, OsERF#070, OsERF070, OsERF70, ERF70, AP2/EREBP#084, AP2/EREBP84;OsERF#099, OsERF099, OsERF99, AP2/EREBP#080, AP2/EREBP80, OsEREBP2, EREBP2;OsERF#101, OsERF101, OsDERF6, DERF6, AP2/EREBP#089, AP2/EREBP89, OsRap2.6, Rap2.6, ERF113, OsERF113, OsERF101/OsRAP2.6;OsERF#105, OsERF105, AP2/EREBP#050, AP2/EREBP50
QOZ80_5AG0371940	DHHC-type zinc finger family protein	OsDHHC14;OsDHHC20;OsDHHC22;OsDHHC3, OsDHHC03, DHHC03
QOZ80_5AG0371960	Protein kinase superfamily protein	OsRLCK151;OsRLCK73
QOZ80_5AG0371970	Thioesterase superfamily protein	OsHAD1, HAD1;OsHAD2
QOZ80_5AG0371980	ARA12;Subtilase family protein;Subtilisin-like serine endopeptidase family protein;subtilisin-like serine protease 2 (SLP2)	OsSub10;OsSub11;OsSub28;OsSub41;OsSub47
QOZ80_5AG0371990	unknown protein	
QOZ80_5AG0372030	Protein of unknown function (DUF1218)	
QOZ80_5AG0372060	Protein of unknown function (DUF1218)	
QOZ80_5AG0372070	Protein kinase superfamily protein;SNF1-related protein kinase 2.10 (SNRK2.10);SNF1-related protein kinase 2.4 (SNRK2.4);SNF1-related protein kinase 2.5 (SNRK2.5)	OsSAPK4, OsSnRK2.4, SnRK2.4;OsSAPK5, OsSnRK2.5, SnRK2.5;OsSAPK6, OSRK1, OsSnRK2.6, SnRK2.6;OsSAPK7, OsSnRK2.7, SnRK2.7;OsSAPK9, OsSnRK2.9, SnRK2.9
QOZ80_5AG0372080	Proteinase inhibitor, propeptide	
QOZ80_5AG0372090	alpha/beta-Hydrolases superfamily protein;esterase/lipase/thioesterase family protein	
QOZ80_5AG0372100	unknown protein	OsTMEM18, TMEM18
QOZ80_5AG0372110	Protein of unknown function (DUF1682)	
QOZ80_5AG0372120	aspartate aminotransferase (AAT);Pyridoxal phosphate (PLP)-dependent transferases superfamily protein	OsIDI4;OsPPA-AT, PPA-AT
QOZ80_5AG0372130	unknown protein	
QOZ80_5AG0372160	GAST1 protein homolog 1 (GASA1);GAST1 protein homolog 3 (GASA3);Gibberellin-regulated family protein	
QOZ80_5AG0372170	Major facilitator superfamily protein	OsPOT, POT, OsIROPT1, IROPT1;PTR
QOZ80_5AG0372180	Major facilitator superfamily protein	PTR
QOZ80_5AG0372190	GLN phosphoribosyl pyrophosphate amidotransferase 1 (ASE1);GLN phosphoribosyl pyrophosphate amidotransferase 2 (ASE2);GLN phosphoribosyl pyrophosphate amidotransferase 3 (ASE3)	Atase1, OsATASE1;Atase3, OsATASE3
QOZ80_5AG0372200	GTP-binding family protein;P-loop containing nucleoside triphosphate hydrolases superfamily protein	OsRALF-1, OsRALF1, RALF-1
QOZ80_5AG0372220	P-loop containing nucleoside triphosphate hydrolases superfamily protein	OsdNK2, dNK2;OsWSL8, OsdNK1, dNK1
QOZ80_5AG0372250	myb domain protein 32 (MYB32);myb domain protein 3 (MYB3);myb domain protein 4 (MYB4);myb domain protein 6 (MYB6);myb domain protein 7 (MYB7)	OsMyb1, OSMYB1, R2R3-MYB, OsDLN141, DLN141, Os2R_MYB55, 2R_MYB55, MYB2-64, OsMYB2-64;R2R3-MYB, OsDLN231, OsMYB108, MYB108, OsMYB31, MYB31, Os2R_MYB86, Os2R_MYB86, 2R_MYB86, MYB2-103, OsMYB2-103;R2R3-MYB, OsDLN254, OsMYB2, Os2R_MYB94, 2R_MYB94, MYB2-113, OsMYB2-113;R2R3-MYB, OsDLN31, MYB3, OsMYB22, MYB22, Os2R_MYB18, 2R_MYB18, MYB2-20, OsMYB2-20;R2R3-MYB, OsGL1A, DLN218, OsDLN218, OsMYB102, MYB102, Os2R_MYB81, 2R_MYB81, MYB2-97, OsMYB2-97, OsMYB7, MYB7
QOZ80_5AG0372260	C2 calcium/lipid-binding plant phosphoribosyltransferase family protein;Calcium-dependent lipid-binding (CaLB domain) plant phosphoribosyltransferase family protein	OsC2DP40, C2DP40, OsFTIP4;OsC2DP47, C2DP47, OsFTIP3;OsFTIP7, OsC2DP44, C2DP44
QOZ80_5AG0372270	alpha/beta-Hydrolases superfamily protein	OsDLH5
QOZ80_5AG0372280	SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein;Sec14p-like phosphatidylinositol transfer family protein	OsSec14-14, Sec14-14;OsSec14-18, Sec14-18;OsSec14-3, Sec14-3
QOZ80_5AG0372290	K+ transporter 1 (KT1);K+ transporter 5 (KT5);potassium transport 2/3 (KT2/3);Shaker pollen inward K+ channel (SPIK)	OsAKT1, Os-AKT1;OsAKT2, ZMK2, OsZMK2, OsK3.1, K3.1;OsKAT1, OsKAT3;OsKAT3, OsKAT1, KAT1;OsSTA191, OsAKT3
QOZ80_5AG0372310	Adenine nucleotide alpha hydrolases-like superfamily protein	OsUSP24;OsUSP7
QOZ80_5AG0372340	DNAJ heat shock family protein;HSP40/DnaJ peptide-binding protein	OsDjB1;OsDjB2;OsDjB5;OsDjB8;OsDjB9, OsSTA211
QOZ80_5AG0372350	receptor kinase 3 (RK3);receptor-like protein kinase 4 (RLK4);S-locus lectin protein kinase family protein	SDRLK-16, OsSDRLK-16, OsSDRLK16;SDRLK-18, OsSDRLK-18, OsSDRLK18;SDRLK-19, OsSDRLK-19, OsSDRLK19;SDRLK-41, OsSDRLK-41, OsSDRLK41;SDRLK-49, OsSDRLK-49, OsSDRLK49
QOZ80_5AG0372360	B120;receptor kinase 3 (RK3);receptor-like protein kinase 4 (RLK4);S-locus lectin protein kinase family protein	SDRLK-16, OsSDRLK-16, OsSDRLK16;SDRLK-18, OsSDRLK-18, OsSDRLK18;SDRLK-19, OsSDRLK-19, OsSDRLK19;SDRLK-41, OsSDRLK-41, OsSDRLK41;SDRLK-49, OsSDRLK-49, OsSDRLK49
QOZ80_5AG0372400	receptor kinase 3 (RK3);receptor-like protein kinase 4 (RLK4);S-locus lectin protein kinase family protein	SDRLK-16, OsSDRLK-16, OsSDRLK16;SDRLK-18, OsSDRLK-18, OsSDRLK18;SDRLK-19, OsSDRLK-19, OsSDRLK19;SDRLK-41, OsSDRLK-41, OsSDRLK41
QOZ80_5AG0372410	Galactosyltransferase family protein	
QOZ80_5AG0372420	Octicosapeptide/Phox/Bem1p family protein;Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain	OsPB1, PB1
QOZ80_5AG0372440	peroxidase 2 (PA2);peroxidase CB (PRXCB);Peroxidase superfamily protein	atp6, OsPOX1, prx3, POX1;prx125, OsPRX125;prx37, OsPRX37, POD37, OsPOD37;prx39, OsPRX39, OsPRX-A2, PRX-A2, POD39, OsPOD39
QOZ80_5AG0372450	peroxidase 2 (PA2);Peroxidase superfamily protein	atp6, OsPOX1, prx3, POX1;prx125, OsPRX125;prx37, OsPRX37, POD37, OsPOD37;prx39, OsPRX39, OsPRX-A2, PRX-A2, POD39, OsPOD39
QOZ80_5AG0372480	plant glycogenin-like starch initiation protein 1 (PGSIP1);plant glycogenin-like starch initiation protein 2 (PGSIP2)	OsPGSIP-A1, OsGUX1, GUX1, OsGUX1L, OsDGTq1, DGTq1;OsPGSIP-A3
QOZ80_5AG0372490	CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF231, plant (InterPro:IPR004253);TRICHOME BIREFRINGENCE-LIKE 10 (TBL10);TRICHOME BIREFRINGENCE-LIKE 11 (TBL11);TRICHOME BIREFRINGENCE-LIKE 7 (TBL7)	OsTBL22;OsTBL23;OsTBL24;OsTBL26;OsTBL27
QOZ80_5AG0372500	DEA(D/H)-box RNA helicase family protein;P-loop containing nucleoside triphosphate hydrolases superfamily protein	
QOZ80_5AG0372510	NAC domain containing protein 103 (NAC103);NAC domain containing protein 82 (NAC082);VND-interacting 1 (VNI1)	ONAC036, ONAC36, ONAC038, ONAC38, IDEF2, OsIDEF2
QOZ80_5AG0372520	ENTH/ANTH/VHS superfamily protein;epsin N-terminal homology (ENTH) domain-containing protein / clathrin assembly protein-related	OsANTH5;OsANTH6;OsANTH7;OsSTA37, OsANTH2
QOZ80_5AG0372550	Nodulin MtN3 family protein;VEGETATIVE CELL EXPRESSED1 (AtVEX1)	OsSWEET1a, SWEET1a;OsSWEET1b, SWEET1b;OsSWEET6b, SWEET6b
QOZ80_5AG0372560	ATCHX1;cation/H+ exchanger 18 (CHX18);cation/H+ exchanger 2 (CHX2);cation/hydrogen exchanger 15 (CHX15)	OsCHX02, CHX02, OsCHX2, OsCHX11, CHX11;OsCHX16, OsCHX9, CHX9;OsSTA234, STA234, OsCHX03, CHX03, OsCHX3, OsCHX12, CHX12;OsSTA85, STA85, OsCHX01, CHX01, OsCHX1, OsCHX3, CHX3
QOZ80_5AG0372570	SKP2A;SKP2B	Os_F0723, OsFBL67, FBL67;OsFBL65, FBL65;OsFbox258, Os_F0658, OsFBL22, FBL22
QOZ80_5AG0372590	Protein of unknown function (DUF630 and DUF632)	
QOZ80_5AG0372600	Protein of unknown function (DUF803)	OsMGT
QOZ80_5AG0372620	amino acid permease 2 (AAP2);amino acid permease 3 (AAP3);amino acid permease 4 (AAP4);amino acid permease 5 (AAP5);amino acid permease 6 (AAP6)	OsAAP11A, OsAAP16, AAP16;OsAAP11B, OsAAP15, AAP15;OsAAP11C, OsAAP11, AAP11;OsAAP11E, OsAAP8, AAP8;OsAAP11F, OsAAP7, AAP7, FCO7
QOZ80_5AG0372630	Protein kinase superfamily protein;receptor-like kinase in in flowers 3 (RKF3)	OsMRLK24;OsRLCK213;OsRLCK50, OsSPARK5, SPARK5;OsSPARK4;OsSPARK6
QOZ80_5AG0372640	PISTILLATA (PI);TRANSPARENT TESTA16 (TT16)	OsMADS2, RMADS219, NMADS1, PI2, nmads1, DLN33, OsDLN33;OsMADS4, PI1, DLN140, OsDLN140
QOZ80_5AG0372670	Preprotein translocase SecA family protein;zinc ion binding	OsDLN139, OsRING386, RING386
QOZ80_5AG0372680	GA20OX1;gibberellin 20 oxidase 2 (GA20OX2);gibberellin 20-oxidase 3 (GA20OX3);gibberellin 20-oxidase 4 (GA20OX4);gibberellin 20-oxidase 5 (GA20OX5)	GA20OX1, OsGA20ox1, 20ox1, GA20ox-1, ga20ox1, Os20ox, C20OX2, OsGA20ox2, OsGA20ox-1, GA20ox1, OsGNP1;OsGA20ox3, ga20ox3;OsGA20ox4, ga20ox4, GA20ox2, Prl5, Prl5/GA20ox4, OsPrl5;sd1, sd1 (d47, sd1-d, sd1-1), d49(sd1-r), d47, C20OX2, OsGA20ox-2, OsGA20ox2, GA20ox-2, GA20OX2, GA20ox2, sd-1, SD1-ja, SD1-in, sd1-2, Sd-1, GA20, 20ox2, Os20ox2, OsPHQ1, OsPHq1, PHq1
QOZ80_5AG0372690	ATAF1;ATAF2;NAC domain containing protein 102 (NAC102);NAC domain containing protein 32 (NAC032)	ONAC088, ONAC88, OsNAC52, NAC52;OsNAC5, NAC71, ONAC071, ONAC009, ONAC9, ONAC020, ONAC20, OnNAC5*, OnNAC5, OsNAC5/ONAC009;OsNAC6, ONAC048, NAC48, SNAC2, SNAC2/OsNAC6, OsNAC6/ONAC048, OsSNAC2, SNAC-2, OsSNAC-2, OsNAC2
QOZ80_5AG0372730	Protein of unknown function, DUF538	
QOZ80_5AG0372750	CYTOCHROME C-1 (CYTC-1);cytochrome c-2 (CYTC-2)	OsCc1, OsCc-1
QOZ80_5AG0372770	DREB and EAR motif protein 3 (DEAR3);Integrase-type DNA-binding superfamily protein;ORA47	OsERF#011, OsERF011, OsERF11, OsDERF9, DERF9, AP2/EREBP#083, AP2/EREBP83, DLN69, OsDLN69, ERF17_Ath;OsERF#017, OsERF017, OsERF17, AP2/EREBP#091, AP2/EREBP91
QOZ80_5AG0372780	Ribosomal RNA processing Brix domain protein	
